iter	Logloss
0	0.6885012134
1	0.6828127921
2	0.6772456143
3	0.6741191342
4	0.6702382334
5	0.6651589267
6	0.6599846854
7	0.6557593133
8	0.6515293697
9	0.6478028365
10	0.6432607827
11	0.6394779964
12	0.6351482619
13	0.6308257973
14	0.6253516675
15	0.6212913697
16	0.6166736364
17	0.6129418684
18	0.6087029168
19	0.60500202
20	0.6024494604
21	0.5982867892
22	0.5941350532
23	0.5898406869
24	0.5861399267
25	0.5822930374
26	0.5787592171
27	0.5759161609
28	0.5724765925
29	0.5686260694
30	0.5656465214
31	0.5622528768
32	0.5587126691
33	0.5552997345
34	0.5526209694
35	0.5492940066
36	0.5471721101
37	0.5438504742
38	0.5399768224
39	0.5369741855
40	0.5336157463
41	0.5306327551
42	0.5274684888
43	0.523754712
44	0.5201932442
45	0.5173299394
46	0.5148016776
47	0.51167549
48	0.5091116298
49	0.5057486337
50	0.502109579
51	0.4996521172
52	0.4968265091
53	0.4943751429
54	0.4918299522
55	0.4901028149
56	0.4879704012
57	0.4849998789
58	0.4827200891
59	0.4801183106
60	0.4780194635
61	0.4762195013
62	0.4732091793
63	0.4708380311
64	0.4679768655
65	0.4651784177
66	0.4624836434
67	0.460344848
68	0.4578540751
69	0.4558522262
70	0.4537698909
71	0.4517143623
72	0.4492983121
73	0.4471015227
74	0.4449731781
75	0.4426187782
76	0.4402903115
77	0.4375845628
78	0.4357019018
79	0.433478308
80	0.4313774811
81	0.429844097
82	0.4278483874
83	0.4261824721
84	0.4246819196
85	0.4224139885
86	0.4208175403
87	0.4191707252
88	0.4167208858
89	0.4148516172
90	0.4125776872
91	0.4108681325
92	0.4092511772
93	0.4078915523
94	0.4063033428
95	0.4047291898
96	0.4033003143
97	0.4019657319
98	0.3997309614
99	0.3978874467
100	0.3964023978
101	0.3948009338
102	0.3933389445
103	0.3915752657
104	0.3899808325
105	0.3878829647
106	0.3865583445
107	0.3853802548
108	0.3840172911
109	0.3827655576
110	0.3813498199
111	0.3800294729
112	0.3785782245
113	0.3775787853
114	0.3761672621
115	0.3745295936
116	0.3731299273
117	0.3715416636
118	0.36972281
119	0.3679949886
120	0.3662853606
121	0.3644800747
122	0.3628834974
123	0.3619933007
124	0.3602093699
125	0.3590616707
126	0.357712137
127	0.3563447645
128	0.3543184979
129	0.3530971474
130	0.3516902328
131	0.3504544123
132	0.3491771399
133	0.3475830278
134	0.3457914851
135	0.3441045965
136	0.3429385188
137	0.3421480904
138	0.3408724096
139	0.3396489423
140	0.3385148893
141	0.3373729227
142	0.3363830597
143	0.3354521478
144	0.3342652171
145	0.33350611
146	0.332332991
147	0.3310795536
148	0.3303063188
149	0.3292529539
150	0.3283746401
151	0.3272116891
152	0.3260651519
153	0.3248560741
154	0.3237211092
155	0.3227838292
156	0.3216023506
157	0.3203113349
158	0.3192721535
159	0.3184752368
160	0.3175628298
161	0.3162259823
162	0.3151289079
163	0.3138088644
164	0.3131294597
165	0.3120857887
166	0.3112461749
167	0.3102149617
168	0.309181485
169	0.3083298281
170	0.307550477
171	0.3066731919
172	0.3058009135
173	0.3053316903
174	0.3042757478
175	0.303165685
176	0.3022059622
177	0.301202911
178	0.3003558165
179	0.2997645438
180	0.2990216343
181	0.2984171888
182	0.2977317338
183	0.2967639452
184	0.2958717047
185	0.2951781656
186	0.2940283294
187	0.2931797583
188	0.2923298027
189	0.2912273473
190	0.2905162926
191	0.2897024802
192	0.2889208986
193	0.2881592202
194	0.2873617439
195	0.2864314589
196	0.2855108101
197	0.2847336534
198	0.2839360985
199	0.2831337134
200	0.2825263608
201	0.2816402283
202	0.2807202905
203	0.2801428258
204	0.2796687558
205	0.2788194383
206	0.2781725472
207	0.2771830899
208	0.276415659
209	0.2756718123
210	0.2750776242
211	0.2742515118
212	0.2738704475
213	0.2733862
214	0.2724485568
215	0.2717877019
216	0.2709527039
217	0.2700922426
218	0.2695751191
219	0.2689225367
220	0.2683544726
221	0.2678449586
222	0.2670671649
223	0.2662624402
224	0.2654659622
225	0.2647945797
226	0.2641284857
227	0.2634742837
228	0.262883765
229	0.2622607707
230	0.2617717918
231	0.2608480501
232	0.2601419427
233	0.259378556
234	0.2588458301
235	0.2581334498
236	0.2573395188
237	0.2568471367
238	0.256174723
239	0.2554649751
240	0.25482218
241	0.2542591972
242	0.2538160812
243	0.2530721342
244	0.2524902553
245	0.2517505917
246	0.2508451828
247	0.2502358253
248	0.2496100229
249	0.2494197314
250	0.2486289072
251	0.2482316719
252	0.2477732411
253	0.2473214454
254	0.2467621262
255	0.2462449654
256	0.2456266608
257	0.2452857573
258	0.2447465889
259	0.2442107763
260	0.2438460793
261	0.2433153663
262	0.2427639397
263	0.2423020919
264	0.2417976418
265	0.2411145492
266	0.2405143404
267	0.2399928392
268	0.2394856766
269	0.2389286755
270	0.2385337159
271	0.2381010391
272	0.2377992287
273	0.2373835758
274	0.2367270696
275	0.2363436486
276	0.2359593614
277	0.2354063089
278	0.2350178045
279	0.2345738446
280	0.2340288649
281	0.2334767149
282	0.2331262031
283	0.2324394427
284	0.2318163287
285	0.2312476213
286	0.2307774157
287	0.2302531256
288	0.2298784556
289	0.2293757456
290	0.2287881425
291	0.2283122156
292	0.2279882223
293	0.2274277148
294	0.2271012456
295	0.2264100555
296	0.2259022656
297	0.2253885769
298	0.224993629
299	0.2247585823
300	0.2242057272
301	0.2238965151
302	0.2234741677
303	0.2232401316
304	0.2228157098
305	0.2223555384
306	0.2218579065
307	0.2214600544
308	0.2211294537
309	0.2206711859
310	0.220234226
311	0.2198097909
312	0.2194384287
313	0.2190486149
314	0.2186903328
315	0.2183558149
316	0.2179205183
317	0.2175483771
318	0.2172697415
319	0.2168476799
320	0.2163597368
321	0.2160035414
322	0.2155539334
323	0.2151211371
324	0.2147981541
325	0.2142761352
326	0.2138413448
327	0.2134912552
328	0.2131045292
329	0.2126088717
330	0.2122444198
331	0.2118003098
332	0.2114680172
333	0.2110796011
334	0.2107469791
335	0.2103296403
336	0.2099829893
337	0.2093993225
338	0.2090936321
339	0.208910238
340	0.2085770423
341	0.2081019753
342	0.2076180288
343	0.2071846755
344	0.2068570929
345	0.2064706481
346	0.2061038348
347	0.2058457736
348	0.2054941866
349	0.2050138033
350	0.2047597425
351	0.2045089798
352	0.2041282965
353	0.2038379607
354	0.2032979258
355	0.2027243732
356	0.2023587612
357	0.2020092017
358	0.2015169217
359	0.2012144351
360	0.2010125849
361	0.2006057142
362	0.2001864111
363	0.19986292
364	0.1994971168
365	0.1993087244
366	0.1990410093
367	0.1987265284
368	0.1984331448
369	0.1981541205
370	0.1977210121
371	0.1975302651
372	0.1971707828
373	0.1968768404
374	0.1964165883
375	0.195988467
376	0.1956930198
377	0.1953987452
378	0.1950636692
379	0.194578932
380	0.1942832318
381	0.1939990034
382	0.1936471443
383	0.1930923961
384	0.1927010505
385	0.1923491157
386	0.1920206133
387	0.1916521752
388	0.1913869341
389	0.1911758602
390	0.190777958
391	0.1903925319
392	0.1899614975
393	0.1896389227
394	0.189344497
395	0.1890045777
396	0.1887391544
397	0.188496994
398	0.1882305351
399	0.1880354238
400	0.1877213287
401	0.1873891658
402	0.1869868266
403	0.1866584232
404	0.1862100536
405	0.1859116447
406	0.1855036116
407	0.1851796906
408	0.1849032896
409	0.1847221022
410	0.1844002383
411	0.1840158701
412	0.1838194181
413	0.183539035
414	0.183335901
415	0.1831366055
416	0.1827969544
417	0.1823787639
418	0.1820345775
419	0.1817076033
420	0.1812389668
421	0.1809686771
422	0.1806420831
423	0.1802606269
424	0.1799965146
425	0.1798319339
426	0.1795417884
427	0.1793204894
428	0.1790295207
429	0.1787619181
430	0.1785543849
431	0.1781285051
432	0.1778296101
433	0.1775854569
434	0.1771378945
435	0.1768355486
436	0.1765617535
437	0.1761438692
438	0.1758177512
439	0.1755114459
440	0.1753023694
441	0.1750394228
442	0.174829886
443	0.1746669828
444	0.1744254021
445	0.1740678377
446	0.1736624892
447	0.1733822
448	0.1731572335
449	0.1726144986
450	0.1724552021
451	0.172093548
452	0.1717750171
453	0.1714272644
454	0.171077997
455	0.1708144336
456	0.1706680635
457	0.1703238597
458	0.1701249793
459	0.1698528896
460	0.1695048569
461	0.169148912
462	0.1688245765
463	0.1685274388
464	0.1683497997
465	0.1681304518
466	0.1678877118
467	0.16767659
468	0.167409177
469	0.1672406519
470	0.1670644131
471	0.16689299
472	0.1666359489
473	0.1662995582
474	0.1658782491
475	0.1655678731
476	0.1653335815
477	0.1650771899
478	0.1647657107
479	0.1645558127
480	0.164306007
481	0.1640335467
482	0.1638285942
483	0.1635587897
484	0.163237273
485	0.1630059557
486	0.1627537209
487	0.1625052799
488	0.1622540677
489	0.1620387136
490	0.1618136351
491	0.1615719234
492	0.1613323012
493	0.1610083748
494	0.1609153305
495	0.1607840618
496	0.1604369039
497	0.1601717673
498	0.1598545145
499	0.159589597
500	0.1593199895
501	0.1588877221
502	0.1587099828
503	0.1585378705
504	0.1582498301
505	0.1580222429
506	0.1578892266
507	0.1577518127
508	0.1574465528
509	0.1572299755
510	0.1568848774
511	0.156581637
512	0.156374258
513	0.1561086407
514	0.1557678647
515	0.1554309762
516	0.1550246359
517	0.154747552
518	0.1544579147
519	0.1542119732
520	0.1540396729
521	0.1538495955
522	0.1536328246
523	0.1535271621
524	0.1532446822
525	0.1530138369
526	0.1527690137
527	0.1525779935
528	0.1523595218
529	0.1521974676
530	0.152001798
531	0.1517803983
532	0.1514732829
533	0.1511989141
534	0.1509944618
535	0.1506989221
536	0.150513058
537	0.1501990029
538	0.1500842099
539	0.1498852004
540	0.1496300982
541	0.1494408712
542	0.1492233534
543	0.1488810263
544	0.1486943813
545	0.1484455452
546	0.148291823
547	0.1481003778
548	0.1478202484
549	0.147702831
550	0.147486549
551	0.1471541809
552	0.1468643962
553	0.1466102998
554	0.1463832781
555	0.1461705906
556	0.1458969203
557	0.1456898216
558	0.1454538784
559	0.1451161471
560	0.1449774777
561	0.144824792
562	0.1445874743
563	0.1443244895
564	0.1441613195
565	0.1439287914
566	0.1437398036
567	0.1435775555
568	0.1433710299
569	0.1431764566
570	0.1430086372
571	0.1428255775
572	0.1425757076
573	0.1424013223
574	0.142119143
575	0.1419153141
576	0.1417136881
577	0.1414392232
578	0.141133133
579	0.1408933047
580	0.1407511301
581	0.140629253
582	0.1404372618
583	0.1403075905
584	0.1401766192
585	0.1400464804
586	0.1398895089
587	0.1396863828
588	0.1395677682
589	0.139401268
590	0.1390671847
591	0.1388517455
592	0.1384820538
593	0.1382553451
594	0.1380499388
595	0.1379428854
596	0.1378124712
597	0.1375485297
598	0.1372663871
599	0.1371347734
600	0.1368877304
601	0.1366731671
602	0.1365005026
603	0.136318539
604	0.1361593572
605	0.135964402
606	0.1357348086
607	0.1353761882
608	0.1351392397
609	0.134891471
610	0.1346844292
611	0.1344861797
612	0.1343181808
613	0.1340677461
614	0.1339904041
615	0.1338137112
616	0.1335545816
617	0.1334243376
618	0.1332318127
619	0.1330892522
620	0.1329162646
621	0.1327098244
622	0.1323293344
623	0.1320727816
624	0.1318632887
625	0.1317501946
626	0.1315308646
627	0.1312349023
628	0.1311115373
629	0.1309689413
630	0.1308053304
631	0.1305095505
632	0.1303617107
633	0.1301205742
634	0.1300094789
635	0.1299241181
636	0.1297215189
637	0.1294735831
638	0.1292835679
639	0.1291470052
640	0.1289180392
641	0.1287160506
642	0.1284697951
643	0.1283879834
644	0.1282541378
645	0.1281619523
646	0.1279647291
647	0.1278155002
648	0.1277088579
649	0.1275139591
650	0.1273910392
651	0.1270802955
652	0.1269037057
653	0.126703624
654	0.1265073177
655	0.1263893409
656	0.1262287528
657	0.1259820868
658	0.1257938265
659	0.1256411218
660	0.1254703326
661	0.1253099508
662	0.125135555
663	0.1248846028
664	0.1246690514
665	0.1245302521
666	0.1243447825
667	0.1242220554
668	0.124105787
669	0.1239674157
670	0.1237484639
671	0.1234935264
672	0.123292424
673	0.1232176478
674	0.1229250296
675	0.1227652667
676	0.1226761796
677	0.1225623514
678	0.1223889122
679	0.122306402
680	0.1221228497
681	0.1218498052
682	0.1216626651
683	0.1214665163
684	0.1212190669
685	0.1210157998
686	0.1208427759
687	0.1206920515
688	0.120582957
689	0.1204397892
690	0.1202791385
691	0.1200523225
692	0.1198509448
693	0.1196502639
694	0.1195174855
695	0.1193134057
696	0.1191063777
697	0.1189240848
698	0.118715029
699	0.1185572213
700	0.1184471195
701	0.1182474088
702	0.1181286703
703	0.1179986301
704	0.1178335851
705	0.1176335983
706	0.1174665311
707	0.1173428009
708	0.1171616794
709	0.1169367964
710	0.1167857583
711	0.1165840693
712	0.1164210179
713	0.1162750058
714	0.1161286311
715	0.1160126766
716	0.1158570201
717	0.1157966868
718	0.1156962672
719	0.1155098228
720	0.115363771
721	0.1152768873
722	0.1151219722
723	0.1148707273
724	0.1147649798
725	0.1146124986
726	0.1144719771
727	0.1143290862
728	0.1142056566
729	0.1139721309
730	0.1138550359
731	0.1137859684
732	0.1135306338
733	0.1133530891
734	0.1132182683
735	0.1131619066
736	0.1130337872
737	0.1128777117
738	0.1127945129
739	0.1126547163
740	0.1125440438
741	0.1123662865
742	0.1122782851
743	0.1122201935
744	0.1120702435
745	0.1118756565
746	0.1116982771
747	0.1115829794
748	0.1114078666
749	0.1112879545
750	0.1111766254
751	0.111089323
752	0.1109891788
753	0.110918125
754	0.1107556574
755	0.1105628946
756	0.110401864
757	0.1102078168
