iter	Passed	Remaining
0	49	49497
1	50	25151
2	51	17058
3	51	12884
4	52	10444
5	53	8832
6	54	7681
7	54	6783
8	55	6112
9	56	5577
10	57	5142
11	58	4778
12	58	4478
13	59	4216
14	60	3978
15	61	3765
16	62	3592
17	62	3429
18	63	3283
19	64	3151
20	65	3030
21	65	2922
22	66	2819
23	67	2729
24	67	2648
25	68	2572
26	69	2489
27	69	2421
28	70	2360
29	71	2305
30	72	2255
31	73	2208
32	73	2165
33	74	2125
34	75	2082
35	76	2041
36	76	2002
37	77	1965
38	78	1931
39	79	1897
40	79	1864
41	80	1833
42	81	1804
43	81	1777
44	82	1751
45	83	1725
46	83	1699
47	84	1675
48	85	1652
49	85	1629
50	86	1607
51	86	1586
52	87	1564
53	88	1545
54	88	1528
55	89	1514
56	90	1498
57	91	1481
58	91	1466
59	92	1450
60	93	1433
61	93	1417
62	94	1402
63	94	1388
64	95	1377
65	96	1363
66	96	1350
67	97	1337
68	98	1324
69	98	1311
70	99	1298
71	99	1286
72	100	1275
73	101	1264
74	101	1253
75	102	1242
76	102	1232
77	103	1222
78	104	1215
79	105	1207
80	105	1198
81	106	1188
82	106	1178
83	107	1169
84	107	1160
85	108	1151
86	109	1144
87	109	1136
88	110	1128
89	110	1120
90	111	1113
91	112	1105
92	112	1097
93	112	1088
94	113	1080
95	113	1073
96	114	1066
97	115	1059
98	115	1051
99	116	1045
100	116	1038
101	117	1032
102	117	1026
103	118	1020
104	118	1013
105	119	1008
106	120	1005
107	121	1002
108	121	996
109	122	991
110	123	986
111	123	981
112	124	976
113	124	971
114	125	966
115	126	961
116	127	958
117	127	953
118	128	949
119	128	944
120	129	939
121	129	935
122	130	930
123	131	927
124	131	923
125	132	918
126	133	914
127	133	910
128	134	907
129	135	904
130	135	901
131	136	897
132	137	893
133	137	889
134	138	885
135	138	881
136	139	877
137	139	872
138	140	869
139	140	865
140	141	862
141	142	859
142	142	855
143	143	852
144	143	848
145	144	844
146	144	841
147	145	837
148	146	834
149	146	831
150	147	827
151	147	825
152	148	822
153	149	819
154	150	818
155	150	816
156	151	813
157	152	810
158	152	807
159	153	804
160	153	801
161	154	798
162	155	796
163	155	793
164	156	791
165	157	788
166	157	786
167	158	783
168	158	780
169	159	777
170	159	774
171	160	771
172	160	768
173	161	766
